year,month,day,avg_temp
2014,3,13,14.0
2014,3,14,14.0
2014,3,15,11.0
2014,3,16,11.0
2014,3,17,10.0
2014,3,18,14.5
2014,3,19,11.0
2014,3,20,14.0
2014,3,21,14.0
2014,3,22,15.0
2014,3,23,15.0
2014,3,24,6.5
2014,3,25,8.5
2014,3,26,10.0
2014,3,27,11.5
2014,3,28,14.0
2014,3,29,13.0
2014,3,30,14.5
2014,3,31,15.5
2014,4,1,14.5
2014,4,2,14.0
2014,4,3,15.0
2014,4,4,18.5
2014,4,5,15.5
2014,4,6,16.0
2014,4,7,17.5
2014,4,8,17.0
2014,4,9,10.0
2014,4,10,8.5
2014,4,11,11.0
2014,4,12,13.0
2014,4,13,13.0
2014,4,14,11.0
2014,4,15,7.5
2014,4,16,8.5
2014,4,17,10.5
2014,4,18,16.0
2014,4,19,14.5
2014,4,20,12.5
2014,4,21,16.0
2014,4,22,17.0
2014,4,23,19.5
2014,4,24,18.5
2014,4,25,18.0
2014,4,26,16.0
2014,4,27,16.0
2014,4,28,19.0
2014,4,29,18.0
2014,4,30,18.0
2014,5,1,19.0
2014,5,2,18.5
2014,5,3,16.0
2014,5,4,11.0
2014,5,5,12.5
2014,5,6,14.0
2014,5,7,18.0
2014,5,8,16.5
2014,5,9,19.5
2014,5,10,17.5
2014,5,11,17.0
2014,5,12,13.5
2014,5,13,12.5
2014,5,14,10.5
2014,5,15,10.5
2014,5,16,12.5
2014,5,17,14.5
2014,5,18,13.5
2014,5,19,18.0
2014,5,20,20.0
2014,5,21,22.5
2014,5,22,23.0
2014,5,23,23.0
2014,5,24,23.0
2014,5,25,24.0
2014,5,26,22.0
2014,5,27,20.5
2014,5,28,17.0
2014,5,29,16.5
2014,5,30,11.0
2014,5,31,16.5
2014,6,1,17.5
2014,6,2,15.0
2014,6,3,17.5
2014,6,4,18.5
2014,6,5,22.0
2014,6,6,22.0
2014,6,7,24.0
2014,6,8,25.5
2014,6,9,27.5
2014,6,10,27.5
2014,6,11,26.0
2014,6,12,25.5
2014,6,13,20.5
2014,6,14,18.5
2014,6,15,20.5
2014,6,16,20.0
2014,6,17,20.5
2014,6,18,20.5
2014,6,19,21.5
2014,6,20,17.0
2014,6,21,17.5
2014,6,22,19.5
2014,6,23,21.5
2014,6,24,21.5
2014,6,25,15.0
2014,6,26,18.5
2014,6,27,21.5
2014,6,28,22.0
2014,6,29,23.5
2014,6,30,16.5
2014,7,1,19.5
2014,7,2,22.5
2014,7,3,20.5
2014,7,4,22.5
2014,7,5,24.5
2014,7,6,26.5
2014,7,7,28.0
2014,7,8,24.5
2014,7,9,19.5
2014,7,10,22.5
2014,7,11,20.5
2014,7,12,22.0
2014,7,13,22.0
2014,7,14,25.0
2014,7,15,26.0
2014,7,16,25.5
2014,7,17,26.0
2014,7,18,25.5
2014,7,19,27.5
2014,7,20,27.5
2014,7,21,27.0
2014,7,22,22.5
2014,7,23,21.0
2014,7,24,23.5
2014,7,25,25.5
2014,7,26,25.5
2014,7,27,27.0
2014,7,28,24.0
2014,7,29,24.5
2014,7,30,26.5
2014,7,31,25.0
2014,8,1,27.0
2014,8,2,27.0
2014,8,3,27.0
2014,8,4,27.0
2014,8,5,24.5
2014,8,6,24.5
2014,8,7,24.0
2014,8,8,24.5
2014,8,9,25.5
2014,8,10,27.0
2014,8,11,25.0
2014,8,12,24.5
2014,8,13,24.5
2014,8,14,18.0
2014,8,15,21.0
2014,8,16,18.0
2014,8,17,19.5
2014,8,18,22.0
2014,8,19,22.0
2014,8,20,21.5
2014,8,21,17.0
2014,8,22,20.0
